Subject_ID,Gender,Age_Group,Ethnicity,Face_Length_mm,Face_Width_mm,Interpupillary_Distance_mm,Eye_Width_mm,Nose_Length_mm,Nose_Width_mm,Lip_Fullness_Ratio,Jawline_Angle_Degrees,Face_Shape,Eye_Shape,Eye_Color,Skin_Tone_Type
SUBJ_001,Male,46-60,African,171.6,146.6,64.3,33.9,55.3,30.4,0.32,130.9,Heart,Round,Green,Deep
SUBJ_002,Female,61+,South Asian,168.4,126.3,64.3,29.2,50.3,38.1,0.61,128.5,Square,Round,Brown,Dark
SUBJ_003,Female,46-60,Caucasian,197.2,136.0,61.8,30.7,53.7,36.2,0.58,125.3,Diamond,Round,Brown,Deep
SUBJ_004,Female,26-35,African,171.6,155.3,71.5,29.9,49.4,38.2,0.47,126.1,Oval,Monolid,Brown,Dark
SUBJ_005,Male,26-35,Middle Eastern,178.3,144.4,59.1,31.8,45.3,34.6,0.46,139.3,Square,Almond,Blue,Fair
SUBJ_006,Male,61+,African,172.8,142.4,58.8,32.5,56.1,33.7,0.69,131.6,Heart,Hooded,Brown,Medium
SUBJ_007,Male,46-60,Middle Eastern,176.3,145.7,69.3,30.5,49.6,37.4,0.34,140.4,Round,Almond,Grey,Light
SUBJ_008,Female,18-25,South Asian,171.2,157.7,61.0,30.9,44.4,31.1,0.42,128.7,Oblong,Almond,Brown,Light
SUBJ_009,Female,61+,Middle Eastern,185.6,156.0,60.2,28.8,48.1,29.8,0.67,114.7,Oval,Almond,Brown,Medium
SUBJ_010,Female,26-35,Caucasian,167.5,127.4,71.6,30.9,48.3,35.0,0.57,123.2,Round,Round,Blue,Light
SUBJ_011,Male,26-35,South Asian,163.8,130.3,67.0,30.3,51.8,33.8,0.36,113.1,Square,Downturned,Brown,Deep
SUBJ_012,Non-binary,61+,Caucasian,173.3,127.1,61.4,28.2,59.4,36.7,0.74,128.7,Diamond,Round,Brown,Fair
SUBJ_013,Female,46-60,Hispanic/Latino,170.4,134.0,64.3,30.0,52.1,38.3,0.5,130.2,Diamond,Round,Blue,Fair
