RPM,Vibration,Pressure,Humidity,Voltage,Current,Load,Operating_Hours,Machine_Mode,Maintenance_Level,Shift_Type,Temperature,Defective
1660,5.17,88.8,66.87,240.9,42.59,51.93,937,High-Speed,Average,Morning,71.4,1
4572,0.61,32.04,83.55,216.75,45.21,31.48,9329,Standard,Poor,Evening,67.07,1
3892,4.68,113.85,34.72,242.87,42.05,72.09,5946,High-Speed,Average,Evening,84.69,1
1266,4.54,38.12,49.85,240.77,9.64,60.9,8563,Standard,Poor,Night,63.83,1
4244,4.53,82.28,44.9,233.87,15.24,16.97,2469,Eco,Average,Morning,60.22,1
3971,4.87,42.27,89.28,223.49,5.14,24.64,9097,High-Speed,Poor,Night,81.33,1
3719,5.44,50.72,53.36,220.5,18.66,44.92,3274,Standard,Average,Morning,68.23,1
930,6.46,74.65,73.96,214.88,9.89,26.7,6085,Standard,Average,Evening,57.45,0
2485,2.23,61.72,71.08,230.39,26.28,81.3,982,Standard,Average,Evening,60.54,0
1569,6.62,36.02,42.72,233.41,35.47,47.45,9123,Standard,Poor,Morning,64.29,1
3191,4.04,37.09,44.34,224.37,44.35,18.41,3271,Standard,Average,Morning,55.78,1
3233,0.71,61.81,46.88,229.01,38.71,53.59,2140,Standard,Good,Morning,49.55,0
1984,0.56,95.73,54.67,224.54,47.24,18.18,6832,Standard,Average,Morning,53.58,1
4185,2.74,109.8,44.06,235.64,7.43,21.6,9886,High-Speed,Good,Evening,72.21,1
4917,6.3,28.41,31.18,246.05,5.55,31.56,6472,Standard,Average,Morning,67.99,1
3704,5.69,59.31,82.76,216.56,34.76,87.36,9918,Standard,Average,Evening,73.97,1
1274,6.33,30.02,87.94,225.26,18.02,93.22,6085,Standard,Average,Morning,63.96,1
1882,4.19,21.66,50.49,215.63,16.41,84.36,7662,High-Speed,Good,Night,64.27,1
3358,3.58,86.17,50.31,235.0,19.89,40.07,6000,Standard,Poor,Night,72.83,1
2847,1.26,80.24,30.43,239.15,17.14,34.52,8065,Standard,Poor,Night,63.55,1
3547,2.69,36.3,70.82,247.28,28.01,59.42,5416,High-Speed,Average,Evening,69.71,1
1775,3.53,43.38,79.53,221.15,24.81,74.97,8565,High-Speed,Good,Morning,63.3,1
2606,0.8,22.37,38.8,248.01,28.06,99.4,689,Standard,Good,Night,52.39,0
989,1.84,103.49,39.58,212.53,35.27,21.84,8874,Standard,Average,Morning,56.22,1
3534,4.83,117.47,77.4,234.12,22.42,14.44,5163,Standard,Average,Morning,69.69,1
3805,5.91,33.55,66.98,212.29,16.31,72.49,3733,Standard,Average,Morning,65.75,0
2699,7.99,43.15,32.69,245.75,12.48,84.9,2090,High-Speed,Average,Evening,72.65,1
2067,7.47,106.84,67.35,231.19,20.73,86.17,6615,High-Speed,Average,Evening,83.73,1
2328,5.18,112.65,48.54,236.77,38.38,71.06,1358,Eco,Good,Evening,56.97,1
4002,3.43,61.96,52.12,243.26,39.05,95.86,2966,Standard,Good,Evening,65.05,1
4356,5.13,25.06,76.18,216.01,35.01,55.99,3838,Standard,Average,Morning,65.84,1
4690,6.31,23.94,78.66,211.54,15.53,92.24,671,High-Speed,Average,Night,82.31,1
1446,1.03,77.39,54.02,245.16,31.46,97.1,8836,Standard,Average,Evening,61.18,1
3688,3.34,59.29,86.83,222.6,30.68,86.24,4322,Standard,Average,Evening,71.23,1
3235,6.73,22.87,54.39,215.16,26.79,37.88,737,Eco,Average,Evening,58.69,1
1400,3.13,78.33,76.31,228.74,29.75,27.66,8332,Standard,Poor,Morning,58.89,1
3163,4.62,21.13,59.03,233.93,27.13,59.33,4982,Eco,Poor,Morning,59.1,1
2861,4.74,98.74,83.85,211.24,30.45,50.77,4492,High-Speed,Average,Evening,75.83,1
1041,1.56,50.64,84.47,221.0,37.2,89.0,9912,High-Speed,Good,Morning,56.6,0
2841,2.96,24.03,35.25,211.31,9.93,19.0,3772,Standard,Average,Morning,51.85,1
3624,2.74,78.84,86.19,226.81,38.73,33.2,9591,Standard,Average,Night,67.38,1
3412,0.31,59.77,79.53,245.8,11.11,77.66,7357,High-Speed,Average,Evening,67.94,1
2163,0.29,117.38,77.48,249.31,8.0,18.55,4811,Standard,Poor,Evening,58.85,1
2278,6.67,74.42,42.05,235.48,48.92,38.87,5743,Eco,Good,Evening,58.39,1
3356,2.26,47.52,78.31,216.47,48.06,44.84,259,High-Speed,Good,Night,64.37,0
1575,4.19,90.94,81.01,246.23,7.72,66.03,6038,High-Speed,Poor,Morning,69.31,1
4814,2.46,47.15,47.35,230.65,24.95,24.23,680,High-Speed,Good,Night,70.67,1
834,7.53,110.42,87.14,216.15,13.38,87.45,8511,Eco,Average,Evening,68.13,1
3952,2.15,57.47,32.99,246.87,26.84,50.28,7686,Eco,Good,Morning,48.47,0
2755,3.49,74.99,38.99,240.3,42.36,92.53,4574,Eco,Average,Morning,62.26,1
2385,6.99,25.06,62.25,239.27,47.78,52.11,7173,Eco,Average,Evening,62.23,1
4743,6.75,62.61,64.55,238.37,33.54,34.75,9762,High-Speed,Average,Evening,83.92,1
3873,1.57,103.24,68.71,218.01,20.93,22.76,5159,Eco,Good,Morning,54.69,1
1821,6.44,100.56,31.02,218.44,32.15,10.34,4428,Standard,Poor,Evening,67.32,1
4261,3.72,42.43,87.62,237.53,19.04,57.89,1494,Standard,Good,Evening,61.72,0
3413,3.92,42.61,32.68,218.79,45.94,19.64,1021,Standard,Poor,Evening,65.5,1
4643,1.15,101.73,38.58,227.55,44.17,45.26,2873,High-Speed,Good,Night,71.76,1
2300,0.74,113.04,30.84,241.28,30.12,63.03,4562,Eco,Poor,Night,60.83,1
961,5.85,29.54,64.01,241.36,19.62,34.81,4676,Standard,Good,Evening,48.41,0
2781,4.02,65.01,85.94,228.13,18.2,25.77,3534,Standard,Average,Night,63.57,1
1795,3.55,53.75,69.96,241.69,6.5,79.72,6833,Eco,Average,Morning,53.75,1
4142,5.86,107.07,79.36,243.54,41.71,95.21,9410,Standard,Good,Morning,76.9,1
4598,6.15,28.35,30.8,236.19,25.27,19.04,1965,Standard,Good,Morning,57.65,1
2075,1.36,41.11,62.52,219.14,19.63,24.0,824,Standard,Average,Evening,50.87,0
1816,4.92,95.25,57.57,220.96,26.2,96.4,811,High-Speed,Poor,Evening,76.36,1
1137,1.17,25.13,59.94,222.59,41.84,13.4,7810,Standard,Average,Evening,44.41,0
1678,6.04,69.25,34.33,214.67,10.61,97.99,5180,Eco,Average,Morning,58.99,1
1876,5.29,64.21,71.07,220.93,43.59,10.42,490,Standard,Average,Morning,58.43,1
4793,7.66,53.44,60.19,218.38,45.39,88.63,9362,Eco,Average,Night,78.22,1
